probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
78,123,176,0,0.722656,0.608143,0.541848,0.276114,0.43,1.12,0,12
79,115,176,0,0.722656,0.286138,0.250052,0.139101,0.49,1.23,0,13
80,132,176,0,0.722656,0.342641,0.305695,0.154770,0.39,1.29,0,14
81,115,176,0,0.722656,0.356619,0.315502,0.166239,0.50,1.39,0,15
82,127,176,0,0.722656,0.354934,0.319285,0.155033,0.39,0.96,0,10
83,119,176,0,0.722656,0.267545,0.239198,0.119853,0.44,1.04,0,11
84,122,176,0,0.722656,0.288093,0.259684,0.124746,0.44,1.14,0,12
85,135,176,0,0.722656,0.314537,0.281334,0.140659,0.39,1.24,0,13
86,120,176,0,0.722656,0.638308,0.559763,0.306763,0.49,1.36,0,14
87,118,176,0,0.722656,0.261066,0.233035,0.117685,0.52,1.48,0,15
88,126,176,0,0.722656,0.355894,0.325814,0.143198,0.42,1.11,0,10
89,121,176,0,0.722656,0.290195,0.261310,0.126213,0.48,1.24,0,11
90,124,176,0,0.722656,0.255848,0.222238,0.126763,0.45,1.33,0,12
91,107,176,0,0.722656,0.358392,0.326614,0.147541,0.62,1.49,0,13
92,126,176,0,0.722656,0.716513,0.676637,0.235698,0.52,1.61,0,14
93,133,176,0,0.722656,0.629509,0.549717,0.306745,0.48,1.73,0,15
94,103,176,0,0.722656,0.390526,0.350912,0.171381,0.62,1.48,0,14
95,128,176,0,0.722656,0.306513,0.280026,0.124642,0.51,1.61,0,15
96,119,176,0,0.722656,0.333877,0.296355,0.153777,0.48,1.28,0,13
97,115,176,0,0.722656,0.384079,0.347675,0.163215,0.54,1.41,0,14
98,125,176,0,0.722656,0.325930,0.288432,0.151779,0.51,1.53,0,15
99,120,176,0,0.722656,0.301786,0.273953,0.126588,0.47,1.18,0,11
100,119,176,0,0.722656,0.249460,0.220175,0.117273,0.49,1.30,0,12
101,124,176,0,0.722656,0.327411,0.303175,0.123624,0.50,1.43,0,13
102,115,176,0,0.722656,0.239469,0.216115,0.103149,0.60,1.59,0,14
103,115,176,0,0.722656,0.259427,0.230200,0.119625,0.63,1.73,0,15
104,122,176,0,0.722656,0.287879,0.253021,0.137312,0.49,1.42,0,13
105,122,176,0,0.722656,0.636878,0.545419,0.328834,0.54,1.57,0,14
106,109,176,0,0.722656,0.355890,0.325643,0.143577,0.64,1.68,0,15
107,125,176,0,0.722656,0.344651,0.310454,0.149675,0.48,1.39,0,12
108,113,176,0,0.722656,0.401233,0.360116,0.176929,0.55,1.49,0,13
109,116,176,0,0.722656,0.374764,0.339172,0.159407,0.58,1.63,0,14
110,122,176,0,0.722656,0.305274,0.272059,0.138478,0.60,1.79,0,15
111,114,176,0,0.722656,0.332587,0.303668,0.135647,0.48,0.97,0,8
112,119,176,0,0.722656,0.329196,0.296219,0.143612,0.49,1.11,0,9
113,128,176,0,0.722656,0.261665,0.236308,0.112370,0.44,1.19,0,10
114,125,176,0,0.722656,0.388863,0.346707,0.176092,0.48,1.31,0,11
115,122,176,0,0.722656,0.373010,0.330457,0.173017,0.55,1.47,0,12
116,118,176,0,0.722656,0.591805,0.521114,0.280488,0.61,1.62,0,13
117,123,176,0,0.722656,0.339224,0.303391,0.151747,0.59,1.75,0,14
