probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
0,89,128,0,0.722656,0.424012,0.389645,0.167221,0.77,2.09,0,15
1,82,128,0,0.726562,0.454976,0.420226,0.174394,0.77,1.80,0,12
2,85,128,0,0.726562,0.501843,0.463232,0.193037,0.76,1.98,0,13
3,89,128,0,0.726562,0.445720,0.407490,0.180604,0.76,2.17,0,14
4,86,128,0,0.722656,0.403794,0.366778,0.168889,0.84,2.38,0,15
5,85,128,0,0.722656,0.494269,0.456802,0.188770,0.83,2.22,0,13
6,96,128,0,0.722656,0.471683,0.433073,0.186903,0.77,2.42,0,14
7,81,128,0,0.722656,0.438885,0.394757,0.191799,0.97,2.62,0,15
8,92,128,0,0.722656,0.500084,0.451382,0.215262,0.85,2.53,0,15
9,85,128,0,0.726562,0.395906,0.360049,0.164640,0.82,2.33,0,15
10,91,128,0,0.726562,0.458827,0.424177,0.174917,0.62,1.66,0,14
11,87,128,0,0.722656,0.401882,0.363433,0.171539,0.72,1.85,0,15
12,85,128,0,0.722656,0.400104,0.363408,0.167386,0.71,1.57,0,9
13,98,128,0,0.722656,0.501461,0.454690,0.211471,0.67,1.80,0,10
14,86,128,0,0.726562,0.419319,0.382277,0.172315,0.82,2.01,0,11
15,80,128,0,0.726562,0.418011,0.382213,0.169254,1.03,2.28,0,12
16,87,128,0,0.726562,0.394139,0.359791,0.160924,1.10,2.57,0,13
17,83,128,0,0.726562,0.423661,0.382334,0.182507,1.16,2.82,0,14
18,80,128,0,0.726562,0.307480,0.271281,0.144742,1.30,3.04,0,15
19,82,128,0,0.722656,0.353884,0.315282,0.160719,1.24,3.06,0,15
20,94,128,0,0.722656,0.387641,0.351347,0.163770,0.97,2.74,0,14
21,87,128,0,0.726562,0.697757,0.642623,0.271846,1.13,2.99,0,15
22,86,128,0,0.726562,0.499790,0.461339,0.192239,1.12,2.97,0,15
23,86,128,0,0.726562,0.501292,0.464227,0.189173,1.09,2.94,0,15
24,81,128,0,0.726562,0.440178,0.403329,0.176303,1.12,2.90,0,15
25,94,128,0,0.722656,0.591271,0.545366,0.228424,0.76,2.15,0,14
26,75,128,0,0.722656,0.522632,0.484469,0.196047,0.97,2.33,0,15
27,89,128,0,0.722656,0.455315,0.416670,0.183569,0.85,2.22,0,14
28,90,128,0,0.718750,0.508256,0.462412,0.210950,0.83,2.34,0,15
29,97,128,0,0.722656,0.402428,0.358200,0.183415,0.68,2.16,0,14
30,87,128,0,0.722656,0.678078,0.628842,0.253668,0.74,2.25,0,15
31,95,128,0,0.722656,0.355890,0.319181,0.157420,0.65,2.06,0,14
32,90,128,0,0.722656,0.406285,0.365956,0.176476,0.76,2.25,0,15
33,92,128,0,0.722656,0.481946,0.441011,0.194375,0.50,1.34,0,11
34,96,128,0,0.722656,0.330594,0.290288,0.158193,0.45,1.41,0,12
35,92,128,0,0.722656,0.457646,0.415601,0.191613,0.54,1.57,0,13
36,91,128,0,0.722656,0.418533,0.379051,0.177456,0.59,1.72,0,14
37,87,128,0,0.722656,0.511029,0.468832,0.203341,0.70,1.91,0,15
38,86,128,0,0.722656,0.508666,0.467391,0.200714,0.63,1.58,0,13
39,100,128,0,0.722656,0.454651,0.409801,0.196902,0.53,1.73,0,14
40,90,128,0,0.722656,0.445174,0.407224,0.179855,0.63,1.84,0,15
41,87,128,0,0.722656,0.446033,0.405743,0.185252,0.52,1.32,0,10
42,91,128,0,0.722656,0.401437,0.366565,0.163650,0.55,1.49,0,11
43,91,128,0,0.722656,0.380873,0.343363,0.164821,0.66,1.70,0,12
44,87,128,0,0.722656,0.514689,0.472176,0.204827,0.72,1.88,0,13
45,86,128,0,0.722656,0.549363,0.501984,0.223185,0.82,2.10,0,14
46,88,128,0,0.722656,0.520481,0.474119,0.214737,0.88,2.33,0,15
47,91,128,0,0.722656,0.583404,0.539317,0.222480,0.80,2.18,0,15
48,83,128,0,0.722656,0.447233,0.410472,0.177568,0.82,1.99,0,11
49,80,128,0,0.722656,0.517655,0.478041,0.198605,0.91,2.21,0,12
50,92,128,0,0.726562,0.365986,0.330624,0.156952,0.91,2.47,0,13
51,79,128,0,0.726562,0.419358,0.384174,0.168141,1.13,2.70,0,14
52,83,128,0,0.722656,0.518309,0.475205,0.206940,1.11,2.90,0,15
53,91,128,0,0.722656,0.331174,0.291041,0.158024,1.01,2.86,0,15
54,96,128,0,0.726562,0.494188,0.453426,0.196537,0.90,2.79,0,15
55,85,128,0,0.726562,0.522646,0.480452,0.205730,0.98,2.71,0,15
56,87,128,0,0.726562,0.365687,0.328983,0.159680,0.80,2.17,0,15
57,89,128,0,0.726562,0.344769,0.309588,0.151726,0.58,1.37,0,9
58,91,128,0,0.722656,0.533275,0.496736,0.193998,0.56,1.46,0,10
59,86,128,0,0.726562,0.425672,0.388039,0.174992,0.62,1.60,0,11
60,90,128,0,0.722656,0.396708,0.360617,0.165326,0.66,1.79,0,12
61,86,128,0,0.722656,0.559400,0.512122,0.225078,0.77,2.00,0,13
62,91,128,0,0.722656,0.393485,0.355817,0.168001,0.77,2.19,0,14
63,88,128,0,0.722656,0.538800,0.493268,0.216778,0.88,2.42,0,15
64,85,128,0,0.722656,0.511304,0.467018,0.208150,0.91,2.30,0,15
65,91,128,0,0.726562,0.514432,0.474557,0.198584,0.73,2.04,0,13
66,83,128,0,0.722656,0.453319,0.416884,0.178063,0.86,2.24,0,14
67,87,128,0,0.726562,0.454682,0.415042,0.185677,0.93,2.48,0,15
68,85,128,0,0.726562,0.486663,0.443048,0.201368,0.83,2.26,0,15
69,91,128,0,0.722656,0.495101,0.453688,0.198223,0.78,2.10,0,14
70,90,128,0,0.722656,0.387993,0.346023,0.175519,0.84,2.31,0,15
71,84,128,0,0.722656,0.428116,0.392596,0.170739,0.86,2.15,0,13
72,83,128,0,0.722656,0.415517,0.379203,0.169882,0.97,2.39,0,14
73,76,128,0,0.722656,0.502428,0.458557,0.205328,1.13,2.62,0,15
74,92,128,0,0.726562,0.594901,0.551517,0.223015,0.90,2.52,0,15
75,87,128,0,0.726562,0.527406,0.483807,0.209973,0.87,2.33,0,15
76,82,128,0,0.726562,0.521510,0.482464,0.197993,0.89,2.16,0,12
77,88,128,0,0.726562,0.391276,0.353010,0.168762,0.94,2.41,0,13
78,88,128,0,0.726562,0.449123,0.411586,0.179745,0.98,2.63,0,14
79,89,128,0,0.722656,0.420069,0.384760,0.168577,1.05,2.86,0,15
80,86,128,0,0.722656,0.454000,0.418384,0.176268,0.80,2.07,0,13
81,94,128,0,0.722656,0.497679,0.452313,0.207599,0.80,2.29,0,14
82,87,128,0,0.722656,0.382346,0.338240,0.178276,0.93,2.52,0,15
83,88,128,0,0.726562,0.517803,0.481329,0.190900,0.91,2.42,0,13
84,86,128,0,0.726562,0.574547,0.529303,0.223478,0.95,2.60,0,14
85,88,128,0,0.722656,0.376102,0.340602,0.159508,1.02,2.84,0,15
86,87,128,0,0.722656,0.409328,0.360690,0.193526,0.86,2.43,0,15
87,87,128,0,0.722656,0.468156,0.431875,0.180704,0.80,2.28,0,14
88,88,128,0,0.722656,0.321603,0.286436,0.146228,0.89,2.50,0,15
89,91,128,0,0.722656,0.537044,0.494184,0.210235,0.67,1.94,0,13
90,91,128,0,0.722656,0.414780,0.370857,0.185763,0.73,2.13,0,14
91,88,128,0,0.722656,0.329266,0.287853,0.159866,0.78,2.30,0,15
92,89,128,0,0.722656,0.353604,0.317096,0.156480,0.75,2.13,0,13
93,83,128,0,0.726562,0.338109,0.300312,0.155340,0.84,2.31,0,14
94,80,128,0,0.722656,0.687547,0.636514,0.259944,0.98,2.52,0,15
95,83,128,0,0.722656,0.489452,0.445901,0.201830,0.78,1.93,0,14
96,91,128,0,0.722656,0.424895,0.386643,0.176190,0.73,2.10,0,15
97,90,128,0,0.722656,0.500149,0.462774,0.189708,0.69,1.86,0,15
98,85,128,0,0.722656,0.532810,0.487964,0.213959,0.66,1.50,0,9
99,84,128,0,0.726562,0.462126,0.426460,0.178024,0.67,1.58,0,10
100,92,128,0,0.726562,0.382714,0.345601,0.164408,0.67,1.79,0,11
101,88,128,0,0.726562,0.382884,0.348624,0.158308,0.82,2.04,0,12
102,76,128,0,0.726562,0.566781,0.519759,0.226036,1.02,2.26,0,13
103,90,128,0,0.722656,0.443041,0.402072,0.186074,0.95,2.50,0,14
104,91,128,0,0.722656,0.443454,0.407832,0.174139,1.02,2.75,0,15
105,88,128,0,0.726562,0.378141,0.342133,0.161047,1.02,2.69,0,15
106,86,128,0,0.726562,0.494092,0.457820,0.185816,0.91,2.53,0,14
107,89,128,0,0.722656,0.424751,0.387427,0.174109,0.98,2.77,0,15
108,88,128,0,0.726562,0.410696,0.372570,0.172809,0.80,2.28,0,14
109,98,128,0,0.726562,0.422056,0.386733,0.169023,0.77,2.48,0,15
110,89,128,0,0.722656,0.702173,0.643318,0.281406,0.79,2.32,0,14
111,85,128,0,0.722656,0.441354,0.404762,0.175957,0.91,2.53,0,15
112,88,128,0,0.726562,0.349819,0.316005,0.150048,0.71,1.98,0,15
113,96,128,0,0.722656,0.348636,0.312019,0.155537,0.58,1.70,0,13
114,81,128,0,0.722656,0.623896,0.579682,0.230684,0.79,1.90,0,14
115,87,128,0,0.722656,0.352168,0.315583,0.156299,0.87,2.14,0,15
116,88,128,0,0.726562,0.590982,0.547300,0.222985,0.79,1.94,0,11
117,88,128,0,0.722656,0.547421,0.502665,0.216789,0.81,2.11,0,12
118,86,128,0,0.722656,0.476363,0.439897,0.182791,0.91,2.34,0,13
119,81,128,0,0.726562,0.402779,0.365328,0.169605,1.09,2.60,0,14
120,81,128,0,0.726562,0.450987,0.412350,0.182638,1.08,2.73,0,15
121,85,128,0,0.722656,0.402771,0.358542,0.183500,1.00,2.63,0,15
122,92,128,0,0.722656,0.448276,0.408018,0.185668,0.73,2.09,0,14
123,88,128,0,0.722656,0.499237,0.455913,0.203424,0.79,2.27,0,15
124,90,128,0,0.722656,0.472659,0.436903,0.180341,0.70,2.08,0,13
125,84,128,0,0.722656,0.612702,0.564166,0.238998,0.86,2.29,0,14
126,91,128,0,0.722656,0.498602,0.460109,0.192103,0.89,2.53,0,15
127,88,128,0,0.722656,0.437394,0.396556,0.184545,0.75,1.98,0,14
128,88,128,0,0.722656,0.684537,0.629815,0.268185,0.85,2.20,0,15
129,87,128,0,0.722656,0.387976,0.349220,0.169028,0.82,2.03,0,12
130,89,128,0,0.722656,0.690349,0.640675,0.257133,0.78,2.15,0,13
131,87,128,0,0.722656,0.457923,0.419070,0.184592,0.84,2.25,0,14
132,87,128,0,0.722656,0.492728,0.452777,0.194355,0.90,2.46,0,15
133,84,128,0,0.726562,0.530325,0.493672,0.193734,0.91,2.34,0,15
134,93,128,0,0.722656,0.412953,0.373327,0.176513,0.78,2.20,0,15
135,94,128,0,0.722656,0.400389,0.360159,0.174919,0.71,2.00,0,12
136,85,128,0,0.722656,0.456845,0.412660,0.196009,0.88,2.23,0,13
137,85,128,0,0.722656,0.584386,0.542491,0.217279,0.99,2.47,0,14
138,81,128,0,0.722656,0.473627,0.427686,0.203487,1.02,2.65,0,15
139,87,128,0,0.722656,0.394450,0.358621,0.164261,1.00,2.59,0,14
140,85,128,0,0.722656,0.475354,0.434956,0.191769,1.01,2.66,0,15
141,87,128,0,0.722656,0.385302,0.346886,0.167712,0.84,2.21,0,14
142,85,128,0,0.722656,0.427042,0.387651,0.179140,0.98,2.46,0,15
143,94,128,0,0.722656,0.592093,0.551507,0.215438,0.79,2.30,0,15
144,82,128,0,0.722656,0.575970,0.531361,0.222253,0.84,2.08,0,12
145,89,128,0,0.722656,0.541007,0.499879,0.206906,0.83,2.30,0,13
146,82,128,0,0.722656,0.406607,0.367501,0.173990,0.98,2.53,0,14
147,94,128,0,0.722656,0.382871,0.345441,0.165108,0.95,2.79,0,15
148,87,128,0,0.722656,0.485281,0.441107,0.202293,0.91,2.39,0,13
149,87,128,0,0.722656,0.639698,0.596944,0.229938,1.00,2.63,0,14
150,83,128,0,0.722656,0.484528,0.442487,0.197414,1.13,2.88,0,15
151,90,128,0,0.722656,0.410601,0.370045,0.177930,0.91,2.47,0,15
152,86,128,0,0.726562,0.499507,0.457320,0.200912,0.90,2.34,0,15
153,79,128,0,0.722656,0.503085,0.463111,0.196526,0.95,2.21,0,13
154,85,128,0,0.726562,0.374941,0.340608,0.156739,0.98,2.45,0,14
155,88,128,0,0.726562,0.471828,0.432059,0.189596,1.04,2.71,0,15
156,86,128,0,0.726562,0.317699,0.284513,0.141369,1.06,2.66,0,14
157,79,128,0,0.726562,0.562010,0.521784,0.208797,1.16,2.83,0,15
158,89,128,0,0.726562,0.398027,0.363562,0.162013,0.83,2.17,0,13
159,87,128,0,0.722656,0.507896,0.472786,0.185558,0.87,2.36,0,14
160,90,128,0,0.726562,0.472327,0.432567,0.189681,0.90,2.58,0,15
161,80,128,0,0.722656,0.461505,0.416557,0.198663,0.98,2.48,0,15
162,84,128,0,0.726562,0.611814,0.564296,0.236404,0.81,1.97,0,12
163,88,128,0,0.722656,0.448250,0.409629,0.182022,0.77,2.09,0,13
164,78,128,0,0.722656,0.376460,0.341307,0.158844,0.91,2.29,0,14
165,87,128,0,0.722656,0.511607,0.470303,0.201387,0.92,2.53,0,15
166,92,128,0,0.726562,0.374345,0.341531,0.153267,0.87,2.43,0,15
167,85,128,0,0.726562,0.469269,0.420269,0.208775,0.88,2.29,0,14
168,94,128,0,0.722656,0.485128,0.443738,0.196076,0.88,2.53,0,15
169,72,128,0,0.726562,0.377833,0.340917,0.162890,1.00,2.37,0,13
170,82,128,0,0.726562,0.380725,0.344606,0.161859,1.06,2.62,0,14
171,85,128,0,0.726562,0.609461,0.564917,0.228716,1.13,2.88,0,15
172,79,128,0,0.726562,0.651082,0.604693,0.241358,0.91,2.10,0,13
173,96,128,0,0.726562,0.677438,0.626647,0.257362,0.80,2.30,0,14
174,86,128,0,0.722656,0.587266,0.541806,0.226556,0.97,2.53,0,15
175,90,128,0,0.726562,0.438004,0.397262,0.184472,0.84,2.35,0,15
176,84,128,0,0.722656,0.390446,0.354797,0.162994,0.85,2.20,0,13
177,91,128,0,0.722656,0.481501,0.433644,0.209276,0.87,2.43,0,14
178,92,128,0,0.722656,0.469465,0.433071,0.181237,0.84,2.57,0,15
179,95,128,0,0.722656,0.287587,0.249217,0.143517,0.67,2.04,0,12
180,82,128,0,0.722656,0.477058,0.435701,0.194290,0.82,2.23,0,13
181,94,128,0,0.722656,0.349054,0.315574,0.149171,0.77,2.41,0,14
182,79,128,0,0.726562,0.843345,0.780530,0.319380,0.96,2.60,0,15
183,88,128,0,0.722656,0.474225,0.437134,0.183857,0.88,2.50,0,15
184,89,128,0,0.726562,0.400946,0.368091,0.158957,0.56,1.34,0,10
