probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
0,113,128,0,0.718750,0.268984,0.256531,0.080898,0.26,1.39,0,15
1,101,128,0,0.718750,0.139892,0.130981,0.049129,0.25,0.56,0,4
2,106,128,0,0.718750,0.206044,0.195965,0.063654,0.22,0.60,0,5
3,112,128,0,0.718750,0.200983,0.191965,0.059529,0.19,0.66,0,6
4,107,128,0,0.718750,0.266250,0.253526,0.081323,0.23,0.76,0,7
5,108,128,0,0.718750,0.209858,0.199470,0.065208,0.23,0.85,0,8
6,114,128,0,0.718750,0.224750,0.217217,0.057701,0.18,0.86,0,9
7,108,128,0,0.718750,0.181598,0.173583,0.053356,0.24,0.96,0,10
8,116,128,0,0.718750,0.167143,0.158075,0.054304,0.18,1.02,0,11
9,108,128,0,0.718750,0.212307,0.202885,0.062545,0.25,1.12,0,12
10,113,128,0,0.718750,0.079589,0.072252,0.033378,0.23,1.21,0,13
11,113,128,0,0.718750,0.061880,0.052931,0.032053,0.23,1.29,0,14
12,108,128,0,0.718750,0.164757,0.157601,0.048027,0.27,1.37,0,15
13,112,128,0,0.718750,0.247659,0.236557,0.073320,0.15,0.42,0,2
14,111,128,0,0.718750,0.160181,0.151992,0.050563,0.16,0.44,0,3
15,108,128,0,0.718750,0.239424,0.228368,0.071916,0.20,0.55,0,4
16,108,128,0,0.718750,0.186970,0.176387,0.062013,0.20,0.59,0,5
17,114,128,0,0.718750,0.179619,0.170407,0.056783,0.15,0.60,0,6
18,108,128,0,0.718750,0.088149,0.079936,0.037155,0.23,0.74,0,7
19,109,128,0,0.718750,0.211322,0.199504,0.069678,0.21,0.79,0,8
20,110,128,0,0.718750,0.237088,0.229494,0.059527,0.22,0.88,0,9
21,109,128,0,0.718750,0.215429,0.202968,0.072205,0.23,0.96,0,10
22,113,128,0,0.718750,0.110375,0.103772,0.037602,0.23,1.05,0,11
23,109,128,0,0.718750,0.283476,0.271953,0.080000,0.27,1.15,0,12
24,111,128,0,0.718750,0.152832,0.144344,0.050225,0.26,1.24,0,13
25,108,128,0,0.718750,0.212276,0.201877,0.065627,0.30,1.35,0,14
26,111,128,0,0.718750,0.082505,0.074315,0.035837,0.30,1.47,0,15
27,112,128,0,0.718750,0.208725,0.195787,0.072341,0.20,0.74,0,7
28,108,128,0,0.718750,0.172204,0.163022,0.055479,0.24,0.84,0,8
29,114,128,0,0.718750,0.192332,0.180117,0.067452,0.19,0.88,0,9
30,107,128,0,0.718750,0.200943,0.192178,0.058701,0.26,1.00,0,10
31,108,128,0,0.718750,0.143113,0.133394,0.051839,0.29,1.13,0,11
32,103,128,0,0.718750,0.221342,0.213146,0.059676,0.38,1.29,0,12
33,108,128,0,0.718750,0.109873,0.101790,0.041362,0.34,1.37,0,13
34,116,128,0,0.718750,0.241914,0.230055,0.074815,0.26,1.44,0,14
35,113,128,0,0.718750,0.100633,0.093748,0.036583,0.30,1.56,0,15
36,112,128,0,0.718750,0.231513,0.220703,0.069916,0.21,0.95,0,10
37,114,128,0,0.718750,0.085047,0.077155,0.035777,0.20,1.03,0,11
38,106,128,0,0.718750,0.104518,0.096966,0.039009,0.30,1.17,0,12
39,112,128,0,0.718750,0.212377,0.200846,0.069029,0.26,1.24,0,13
40,106,128,0,0.718750,0.236052,0.226398,0.066817,0.34,1.38,0,14
41,110,128,0,0.718750,0.132130,0.122182,0.050298,0.30,1.46,0,15
42,112,128,0,0.718750,0.208804,0.198025,0.066223,0.18,0.70,0,7
43,108,128,0,0.718750,0.244422,0.232034,0.076825,0.23,0.83,0,8
44,110,128,0,0.718750,0.166600,0.156973,0.055814,0.21,0.87,0,9
45,107,128,0,0.718750,0.203482,0.192666,0.065457,0.28,1.01,0,10
46,113,128,0,0.718750,0.111720,0.104164,0.040390,0.23,1.07,0,11
47,113,128,0,0.718750,0.269933,0.259094,0.075724,0.23,1.17,0,12
48,110,128,0,0.718750,0.223058,0.213556,0.064412,0.30,1.31,0,13
49,108,128,0,0.718750,0.180689,0.170352,0.060237,0.33,1.43,0,14
50,117,128,0,0.718750,0.178531,0.170158,0.054031,0.27,1.52,0,15
51,109,128,0,0.718750,0.157702,0.149214,0.051041,0.23,0.89,0,9
52,109,128,0,0.718750,0.196266,0.183946,0.068441,0.26,1.01,0,10
53,111,128,0,0.718750,0.169859,0.159719,0.057810,0.22,1.03,0,11
54,120,128,0,0.718750,0.067047,0.058518,0.032726,0.15,1.08,0,12
55,106,128,0,0.718750,0.156585,0.149046,0.048000,0.27,1.20,0,13
56,106,128,0,0.718750,0.109760,0.102273,0.039842,0.33,1.33,0,14
57,110,128,0,0.718750,0.110784,0.102945,0.040932,0.30,1.42,0,15
58,111,128,0,0.718750,0.123877,0.113907,0.048691,0.20,0.64,0,5
59,109,128,0,0.718750,0.255967,0.246775,0.067982,0.22,0.72,0,6
60,112,128,0,0.718750,0.074654,0.066661,0.033609,0.18,0.70,0,7
61,108,128,0,0.718750,0.223608,0.214853,0.061958,0.23,0.81,0,8
62,116,128,0,0.718750,0.209965,0.195576,0.076389,0.16,0.85,0,9
63,113,128,0,0.718750,0.226495,0.217132,0.064449,0.19,0.93,0,10
64,108,128,0,0.718750,0.207906,0.194697,0.072924,0.25,1.04,0,11
