probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
78,112,128,0,0.718750,0.172458,0.145768,0.092160,0.14,0.39,0,2
79,116,128,0,0.718750,0.159458,0.131954,0.089528,0.10,0.33,0,2
80,109,128,0,0.718750,0.231246,0.208320,0.100386,0.17,0.45,0,3
81,114,128,0,0.718750,0.187702,0.163667,0.091898,0.12,0.38,0,2
82,108,128,0,0.718750,0.126365,0.090781,0.087902,0.16,0.36,0,1
83,116,128,0,0.718750,0.154100,0.126985,0.087302,0.11,0.36,0,2
84,116,128,0,0.718750,0.617594,0.586617,0.193138,0.09,0.29,0,1
85,110,128,0,0.718750,0.234465,0.208182,0.107862,0.15,0.38,0,2
86,115,128,0,0.718750,0.270701,0.243157,0.118969,0.12,0.37,0,2
87,114,128,0,0.718750,0.174385,0.147904,0.092383,0.11,0.31,0,1
88,115,128,0,0.718750,0.224440,0.201907,0.098014,0.10,0.30,0,1
89,113,128,0,0.718750,0.623461,0.592028,0.195466,0.13,0.38,0,2
90,113,128,0,0.718750,0.111938,0.072183,0.085555,0.15,0.44,0,2
91,115,128,0,0.718750,0.201437,0.176257,0.097521,0.10,0.30,0,1
92,117,128,0,0.718750,0.194625,0.169597,0.095477,0.10,0.35,0,2
93,113,128,0,0.718750,0.169206,0.143422,0.089781,0.13,0.38,0,2
94,111,128,0,0.718750,0.142893,0.111256,0.089668,0.16,0.44,0,3
95,107,128,0,0.718750,0.182180,0.153936,0.097434,0.21,0.56,0,4
96,116,128,0,0.718750,0.136752,0.103547,0.089325,0.10,0.33,0,2
97,111,128,0,0.718750,0.254750,0.233675,0.101458,0.15,0.40,0,2
98,110,128,0,0.718750,0.098055,0.049732,0.084507,0.16,0.41,0,2
99,116,128,0,0.718750,0.130844,0.095857,0.089061,0.11,0.36,0,2
100,115,128,0,0.718750,0.208400,0.182895,0.099900,0.12,0.37,0,2
101,113,128,0,0.718750,0.137545,0.104247,0.089729,0.16,0.51,0,3
102,106,128,0,0.718750,0.163190,0.136336,0.089686,0.20,0.49,0,3
103,117,128,0,0.718750,0.168342,0.141367,0.091404,0.09,0.28,0,1
104,117,128,0,0.718750,0.623083,0.594060,0.187950,0.09,0.32,0,2
105,112,128,0,0.718750,0.153957,0.125450,0.089247,0.14,0.39,0,2
106,113,128,0,0.718750,0.131645,0.098038,0.087858,0.13,0.38,0,2
107,114,128,0,0.718750,0.247866,0.224612,0.104817,0.15,0.49,0,3
108,115,128,0,0.718750,0.152314,0.123158,0.089619,0.15,0.53,0,4
109,121,128,0,0.722656,0.153617,0.120443,0.095350,0.06,0.27,0,2
110,115,128,0,0.718750,0.136029,0.101501,0.090562,0.11,0.34,0,2
111,109,128,0,0.718750,0.239942,0.213047,0.110376,0.16,0.41,0,2
112,113,128,0,0.718750,0.132492,0.098506,0.088604,0.14,0.41,0,2
113,115,128,0,0.718750,0.238986,0.217329,0.099410,0.10,0.30,0,1
114,119,128,0,0.718750,0.100301,0.053649,0.084747,0.08,0.30,0,2
115,115,128,0,0.718750,0.157507,0.128422,0.091193,0.13,0.44,0,3
116,114,128,0,0.718750,0.137079,0.105871,0.087074,0.11,0.31,0,1
117,117,128,0,0.718750,0.097939,0.050841,0.083709,0.10,0.35,0,2
118,115,128,0,0.718750,0.225148,0.202155,0.099120,0.11,0.34,0,2
119,112,128,0,0.718750,0.177725,0.151919,0.092232,0.14,0.39,0,2
120,112,128,0,0.718750,0.140356,0.108758,0.088721,0.12,0.33,0,1
121,109,128,0,0.718750,0.180027,0.155525,0.090673,0.18,0.46,0,2
122,115,128,0,0.718750,0.171238,0.144368,0.092090,0.12,0.37,0,2
123,113,128,0,0.718750,0.628334,0.596645,0.197024,0.13,0.40,0,3
124,116,128,0,0.718750,0.134321,0.100761,0.088822,0.09,0.29,0,1
125,111,128,0,0.718750,0.141559,0.111328,0.087436,0.14,0.37,0,2
126,115,128,0,0.718750,0.643762,0.612553,0.198010,0.11,0.34,0,2
127,115,128,0,0.718750,0.234306,0.208806,0.106300,0.11,0.34,0,2
128,115,128,0,0.718750,0.131066,0.097035,0.088105,0.11,0.34,0,2
129,112,128,0,0.718750,0.134405,0.100121,0.089668,0.14,0.39,0,2
130,112,128,0,0.718750,0.108968,0.068091,0.085074,0.13,0.36,0,2
131,112,128,0,0.718750,0.227029,0.203430,0.100788,0.13,0.36,0,2
132,120,128,0,0.718750,0.143650,0.112398,0.089454,0.07,0.29,0,2
133,119,128,0,0.718750,0.235894,0.213279,0.100789,0.07,0.26,0,1
134,120,128,0,0.718750,0.122653,0.086938,0.086518,0.06,0.24,0,1
135,113,128,0,0.718750,0.162278,0.134151,0.091311,0.13,0.38,0,2
136,110,128,0,0.718750,0.182867,0.156733,0.094207,0.15,0.38,0,2
137,109,128,0,0.718750,0.141344,0.107208,0.092111,0.17,0.44,0,2
138,118,128,0,0.718750,0.252720,0.232077,0.100039,0.09,0.31,0,2
139,110,128,0,0.718750,0.155217,0.126320,0.090198,0.15,0.38,0,2
140,114,128,0,0.718750,0.149127,0.119408,0.089333,0.11,0.31,0,1
141,112,128,0,0.718750,0.102377,0.057222,0.084892,0.13,0.36,0,2
142,112,128,0,0.718750,0.198870,0.173982,0.096330,0.16,0.48,0,3
143,117,128,0,0.718750,0.203210,0.179223,0.095780,0.09,0.28,0,1
144,116,128,0,0.718750,0.110411,0.068474,0.086613,0.11,0.36,0,2
145,113,128,0,0.718750,0.111702,0.072505,0.084973,0.12,0.35,0,2
146,115,128,0,0.718750,0.197608,0.174913,0.091949,0.11,0.34,0,2
147,117,128,0,0.718750,0.155050,0.125996,0.090363,0.09,0.28,0,1
148,115,128,0,0.718750,0.238906,0.216468,0.101083,0.12,0.40,0,2
149,117,128,0,0.718750,0.180786,0.155616,0.092017,0.09,0.32,0,2
150,113,128,0,0.718750,0.177755,0.150394,0.094756,0.13,0.38,0,2
151,116,128,0,0.718750,0.148208,0.116729,0.091323,0.09,0.29,0,1
152,111,128,0,0.718750,0.641056,0.612028,0.190720,0.14,0.37,0,2
153,112,128,0,0.718750,0.185289,0.160296,0.092937,0.16,0.44,0,2
154,112,128,0,0.718750,0.135084,0.102190,0.088345,0.14,0.39,0,2
155,115,128,0,0.718750,0.156513,0.126517,0.092140,0.10,0.30,0,1
156,116,128,0,0.718750,0.164968,0.135365,0.094291,0.10,0.33,0,2
157,111,128,0,0.718750,0.164562,0.137916,0.089777,0.16,0.42,0,2
158,112,128,0,0.718750,0.093949,0.042535,0.083768,0.14,0.41,0,3
159,113,128,0,0.718750,0.239755,0.218568,0.098542,0.13,0.38,0,2
160,116,128,0,0.718750,0.150448,0.119750,0.091075,0.09,0.29,0,1
161,116,128,0,0.718750,0.638379,0.606456,0.199346,0.10,0.33,0,2
162,112,128,0,0.718750,0.158290,0.130239,0.089963,0.13,0.36,0,2
163,108,128,0,0.718750,0.236254,0.211435,0.105410,0.16,0.36,0,1
164,108,128,0,0.718750,0.135336,0.102270,0.088639,0.18,0.44,0,2
165,114,128,0,0.718750,0.122091,0.084968,0.087674,0.11,0.31,0,1
166,114,128,0,0.718750,0.148329,0.118402,0.089345,0.12,0.38,0,2
167,118,128,0,0.718750,0.128063,0.093688,0.087308,0.09,0.34,0,2
168,117,128,0,0.718750,0.195830,0.168459,0.099855,0.09,0.28,0,1
169,107,128,0,0.718750,0.136894,0.104591,0.088321,0.17,0.40,0,2
170,113,128,0,0.718750,0.138048,0.105580,0.088938,0.13,0.38,0,2
171,115,128,0,0.722656,0.190279,0.161046,0.101341,0.12,0.37,0,2
172,110,128,0,0.718750,0.246590,0.224972,0.100967,0.16,0.41,0,2
173,116,128,0,0.718750,0.649347,0.618443,0.197941,0.09,0.29,0,1
174,116,128,0,0.718750,0.159291,0.131444,0.089977,0.09,0.29,0,1
175,117,128,0,0.718750,0.204875,0.180884,0.096200,0.09,0.32,0,2
176,109,128,0,0.718750,0.148572,0.119655,0.088069,0.16,0.39,0,2
177,113,128,0,0.718750,0.174615,0.145702,0.096236,0.13,0.38,0,2
178,118,128,0,0.718750,0.175363,0.150124,0.090636,0.09,0.31,0,2
179,108,128,0,0.718750,0.225723,0.202459,0.099804,0.16,0.36,0,1
180,112,128,0,0.718750,0.126389,0.088000,0.090721,0.14,0.39,0,2
181,113,128,0,0.718750,0.159049,0.130127,0.091453,0.13,0.38,0,2
182,109,128,0,0.718750,0.637141,0.606506,0.195191,0.19,0.51,0,3
183,111,128,0,0.718750,0.179331,0.151599,0.095798,0.18,0.58,0,4
184,114,128,0,0.718750,0.226384,0.201014,0.104130,0.11,0.31,0,1
185,105,128,0,0.718750,0.215640,0.191860,0.098439,0.20,0.44,0,2
