probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
0,129,176,0,0.722656,0.380720,0.329853,0.190118,0.31,0.57,0,4
1,125,176,0,0.722656,0.572443,0.540145,0.189564,0.32,0.52,0,2
2,123,176,0,0.722656,0.638357,0.578873,0.269083,0.34,0.55,0,3
3,121,176,0,0.722656,0.282685,0.255229,0.121529,0.36,0.58,0,2
4,139,176,0,0.722656,0.260756,0.239712,0.102624,0.23,0.47,0,2
5,138,176,0,0.722656,0.717192,0.626039,0.349914,0.22,0.41,0,1
6,126,176,0,0.722656,0.705214,0.632449,0.311987,0.30,0.50,0,2
7,125,176,0,0.722656,0.356854,0.326100,0.144924,0.33,0.55,0,2
8,131,176,0,0.722656,0.336740,0.320057,0.104676,0.29,0.55,0,3
9,128,176,0,0.722656,0.307303,0.283613,0.118319,0.30,0.52,0,2
10,130,176,0,0.718750,0.477852,0.441675,0.182390,0.32,0.61,0,3
11,135,176,0,0.722656,0.431468,0.405358,0.147816,0.26,0.53,0,4
12,132,176,0,0.722656,0.834160,0.748349,0.368506,0.31,0.64,0,5
13,140,176,0,0.722656,0.275038,0.247653,0.119641,0.22,0.44,0,2
14,132,176,0,0.722656,0.526332,0.496225,0.175458,0.26,0.47,0,2
15,118,176,0,0.722656,0.232271,0.210102,0.099029,0.36,0.55,0,2
16,131,176,0,0.722656,0.654091,0.588077,0.286358,0.30,0.55,0,2
17,129,176,0,0.722656,0.385191,0.355722,0.147763,0.30,0.53,0,3
18,129,176,0,0.722656,0.696436,0.634445,0.287231,0.31,0.58,0,4
19,125,176,0,0.722656,0.420032,0.397108,0.136865,0.35,0.60,0,3
20,137,176,0,0.722656,0.221049,0.202866,0.087793,0.24,0.48,0,2
21,124,176,0,0.722656,0.321729,0.295296,0.127710,0.34,0.56,0,3
22,132,176,0,0.718750,0.317817,0.282797,0.145031,0.30,0.56,0,3
23,124,176,0,0.722656,0.584825,0.532267,0.242307,0.35,0.61,0,3
24,124,176,0,0.722656,0.776778,0.692048,0.352780,0.35,0.61,0,3
25,128,176,0,0.722656,0.354258,0.330533,0.127463,0.33,0.62,0,4
26,137,176,0,0.722656,0.330117,0.301480,0.134488,0.26,0.56,0,4
27,129,176,0,0.722656,0.325639,0.302716,0.120016,0.30,0.53,0,3
28,125,176,0,0.722656,0.304729,0.283652,0.111361,0.32,0.52,0,2
29,137,176,0,0.722656,0.293128,0.271006,0.111713,0.25,0.51,0,3
30,128,176,0,0.722656,0.673474,0.629879,0.238369,0.30,0.51,0,2
31,138,176,0,0.718750,0.724281,0.632321,0.353205,0.22,0.43,0,2
32,125,176,0,0.722656,0.392396,0.369768,0.131325,0.32,0.54,0,2
33,130,176,0,0.718750,0.272517,0.248752,0.111301,0.30,0.53,0,2
34,134,176,0,0.722656,0.356647,0.333754,0.125719,0.28,0.55,0,3
35,135,176,0,0.718750,0.339222,0.312010,0.133121,0.26,0.50,0,2
36,118,176,0,0.722656,0.372417,0.344334,0.141874,0.37,0.58,0,3
37,134,176,0,0.722656,0.383325,0.356541,0.140772,0.26,0.49,0,2
38,132,176,0,0.718750,0.694802,0.617079,0.319316,0.29,0.56,0,3
39,126,176,0,0.722656,0.390106,0.365969,0.135090,0.34,0.61,0,4
40,130,176,0,0.722656,0.624690,0.569438,0.256863,0.30,0.57,0,4
41,136,176,0,0.722656,0.483205,0.456667,0.157932,0.27,0.54,0,2
42,126,176,0,0.722656,0.305056,0.282009,0.116318,0.31,0.52,0,3
43,142,176,0,0.722656,0.446309,0.412600,0.170156,0.23,0.51,0,3
44,136,176,0,0.718750,0.590042,0.534857,0.249154,0.23,0.44,0,2
45,130,176,0,0.718750,0.420758,0.393042,0.150185,0.28,0.49,0,2
46,121,176,0,0.722656,0.436502,0.408676,0.153356,0.34,0.53,0,3
47,133,176,0,0.722656,0.387495,0.363977,0.132941,0.29,0.58,0,4
48,138,176,0,0.722656,0.420622,0.388853,0.160365,0.24,0.49,0,3
49,120,176,0,0.722656,0.342105,0.318154,0.125753,0.36,0.57,0,2
50,129,176,0,0.722656,0.317295,0.292945,0.121899,0.30,0.52,0,2
51,117,176,0,0.722656,0.619943,0.555244,0.275741,0.38,0.57,0,2
52,130,176,0,0.722656,0.825081,0.736015,0.372881,0.32,0.60,0,3
53,129,176,0,0.718750,0.265799,0.240738,0.112670,0.32,0.60,0,4
54,135,176,0,0.722656,0.343300,0.309044,0.149487,0.28,0.56,0,3
55,123,176,0,0.722656,0.443685,0.413886,0.159860,0.34,0.56,0,3
56,134,176,0,0.722656,0.368694,0.331175,0.162044,0.27,0.52,0,3
57,124,176,0,0.722656,0.769640,0.694572,0.331536,0.34,0.56,0,2
58,131,176,0,0.722656,0.429719,0.408965,0.131933,0.31,0.58,0,3
59,124,176,0,0.722656,0.299781,0.276658,0.115452,0.32,0.52,0,3
60,128,176,0,0.722656,0.441736,0.411190,0.161410,0.30,0.51,0,2
61,132,176,0,0.718750,0.311708,0.274439,0.147800,0.28,0.52,0,3
62,129,176,0,0.722656,0.783434,0.672016,0.402694,0.27,0.46,0,2
63,133,176,0,0.722656,0.252139,0.224303,0.115160,0.26,0.48,0,2
64,123,176,0,0.722656,0.269674,0.252432,0.094881,0.35,0.58,0,2
65,129,176,0,0.722656,0.498322,0.466852,0.174282,0.29,0.51,0,3
66,128,176,0,0.718750,0.901948,0.830525,0.351764,0.31,0.53,0,2
67,134,176,0,0.722656,0.243667,0.222458,0.099430,0.27,0.54,0,3
