probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
0,78,176,0,0.730469,0.355879,0.264397,0.238211,1.64,3.06,0,15
1,56,176,0,0.734375,0.292280,0.187040,0.224596,1.84,3.13,0,15
2,83,176,0,0.730469,0.388615,0.304383,0.241605,1.56,3.03,0,15
3,58,176,0,0.734375,0.414005,0.328518,0.251944,1.67,2.90,0,15
4,84,176,0,0.730469,0.342498,0.254717,0.228963,1.56,3.05,0,15
5,61,176,0,0.734375,0.393623,0.303354,0.250829,1.55,2.74,0,15
6,71,176,0,0.730469,0.385192,0.304279,0.236194,1.55,2.64,0,14
7,60,176,0,0.734375,0.444828,0.367075,0.251253,1.69,2.79,0,15
8,70,176,0,0.734375,0.409651,0.324931,0.249468,1.66,2.83,0,13
9,63,176,0,0.734375,0.333485,0.243706,0.227639,1.81,3.07,0,14
10,73,176,0,0.730469,0.397606,0.305028,0.255045,1.82,3.36,0,15
11,68,176,0,0.734375,0.313878,0.219111,0.224744,1.74,3.30,0,15
12,75,176,0,0.730469,0.300787,0.201227,0.223564,1.68,3.28,0,15
13,79,176,0,0.734375,0.409693,0.323174,0.251806,1.27,2.57,0,14
14,56,176,0,0.734375,0.523520,0.440630,0.282697,1.59,2.77,0,15
15,75,176,0,0.730469,0.366764,0.274184,0.243597,1.41,2.53,0,15
16,73,176,0,0.734375,0.285423,0.184680,0.217622,1.34,2.54,0,13
17,69,176,0,0.734375,0.298398,0.201119,0.220437,1.47,2.77,0,14
18,68,176,0,0.734375,0.381831,0.297775,0.239008,1.59,3.01,0,15
19,69,176,0,0.734375,0.427187,0.352287,0.241625,1.50,2.82,0,15
20,72,176,0,0.734375,0.414312,0.339442,0.237559,1.32,2.45,0,15
21,70,176,0,0.734375,0.452167,0.360033,0.273553,1.20,1.90,0,11
22,73,176,0,0.734375,0.332658,0.242789,0.227409,1.31,2.18,0,12
23,67,176,0,0.734375,0.453317,0.376281,0.252802,1.46,2.44,0,13
24,79,176,0,0.734375,0.313756,0.218284,0.225377,1.39,2.64,0,14
25,65,176,0,0.734375,0.369277,0.279800,0.240992,1.58,2.89,0,15
26,69,176,0,0.730469,0.436956,0.350581,0.260813,1.67,2.99,0,15
27,69,176,0,0.734375,0.313970,0.214812,0.228982,1.65,3.00,0,15
28,64,176,0,0.734375,0.307147,0.208346,0.225679,1.68,2.89,0,15
29,70,176,0,0.734375,0.324401,0.217375,0.240799,1.70,3.01,0,14
30,68,176,0,0.734375,0.317011,0.230546,0.217588,1.82,3.30,0,15
31,70,176,0,0.734375,0.358338,0.254977,0.251780,1.65,2.98,0,15
32,68,176,0,0.734375,0.421270,0.343362,0.244072,1.61,2.87,0,15
33,73,176,0,0.734375,0.362059,0.256156,0.255872,1.43,2.57,0,15
34,67,176,0,0.734375,0.476769,0.392696,0.270367,1.54,2.63,0,14
35,73,176,0,0.734375,0.424961,0.339086,0.256150,1.56,2.82,0,15
36,57,176,0,0.734375,0.313277,0.214380,0.228438,1.77,2.88,0,14
37,81,176,0,0.734375,0.299785,0.189316,0.232445,1.71,3.23,0,15
38,65,176,0,0.734375,0.405751,0.326395,0.241040,1.78,3.33,0,15
39,77,176,0,0.730469,0.363312,0.269240,0.243937,1.77,3.49,0,15
40,67,176,0,0.734375,0.302029,0.204097,0.222634,1.64,3.10,0,15
41,75,176,0,0.730469,0.268276,0.160466,0.214995,1.54,3.02,0,15
42,68,176,0,0.734375,0.293319,0.189801,0.223633,1.61,3.10,0,15
43,73,176,0,0.734375,0.394793,0.296849,0.260274,1.57,3.02,0,15
44,78,176,0,0.734375,0.413847,0.329992,0.249749,1.41,2.98,0,15
45,67,176,0,0.734375,0.475316,0.382431,0.282262,1.27,2.33,0,14
46,80,176,0,0.734375,0.413116,0.330857,0.247384,1.23,2.54,0,15
47,69,176,0,0.734375,0.361626,0.258250,0.253141,1.20,2.26,0,15
48,75,176,0,0.730469,0.468272,0.387507,0.262900,1.16,2.19,0,15
49,67,176,0,0.734375,0.480715,0.379577,0.294972,1.18,1.87,0,12
50,73,176,0,0.730469,0.405930,0.305960,0.266773,1.15,1.92,0,13
51,77,176,0,0.734375,0.495092,0.423616,0.256253,1.16,2.14,0,14
52,71,176,0,0.734375,0.337420,0.244168,0.232883,1.24,2.33,0,15
53,73,176,0,0.734375,0.382565,0.282209,0.258291,1.27,2.32,0,13
54,65,176,0,0.730469,0.377243,0.288431,0.243145,1.44,2.56,0,14
55,77,176,0,0.730469,0.415499,0.335917,0.244538,1.45,2.83,0,15
56,72,176,0,0.734375,0.416299,0.328981,0.255100,1.18,2.19,0,15
57,70,176,0,0.730469,0.466611,0.356667,0.300856,1.25,2.16,0,12
58,69,176,0,0.730469,0.414072,0.335183,0.243121,1.32,2.31,0,13
59,74,176,0,0.730469,0.471500,0.391904,0.262152,1.36,2.55,0,14
60,67,176,0,0.730469,0.328041,0.227992,0.235861,1.51,2.78,0,15
61,74,176,0,0.730469,0.428907,0.330418,0.273468,1.38,2.54,0,15
62,67,176,0,0.730469,0.410175,0.316954,0.260352,1.39,2.33,0,15
63,74,176,0,0.730469,0.432879,0.351641,0.252452,1.36,2.36,0,13
64,62,176,0,0.730469,0.422770,0.333596,0.259709,1.52,2.49,0,14
65,68,176,0,0.734375,0.368207,0.271779,0.248419,1.65,2.78,0,15
66,66,176,0,0.734375,0.449166,0.370997,0.253201,1.61,2.77,0,14
67,71,176,0,0.734375,0.318668,0.216095,0.234206,1.65,3.03,0,15
68,71,176,0,0.734375,0.335256,0.242321,0.231683,1.59,2.95,0,14
69,71,176,0,0.734375,0.353196,0.264954,0.233552,1.71,3.24,0,15
70,68,176,0,0.734375,0.398892,0.318122,0.240650,1.73,3.19,0,15
71,71,176,0,0.734375,0.454096,0.375874,0.254798,1.68,3.14,0,15
72,67,176,0,0.734375,0.387982,0.308345,0.235485,1.76,3.25,0,15
73,71,176,0,0.734375,0.331989,0.245219,0.223795,1.53,2.81,0,15
74,73,176,0,0.734375,0.454762,0.341211,0.300639,1.48,2.82,0,15
75,65,176,0,0.734375,0.457071,0.375058,0.261238,1.52,2.66,0,14
76,79,176,0,0.730469,0.301569,0.202455,0.223508,1.47,2.88,0,15
77,67,176,0,0.734375,0.295341,0.200614,0.216749,1.49,2.86,0,15
